experiment,reference,scope,unit_id,comparison,classifier,accuracy_reference,accuracy_experiment,delta_accuracy
e3_all_extensions,poster_baseline,inter,yen,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.5666666666666667,0.033333333333333326
e3_all_extensions,poster_baseline,inter,yen,rest1_vs_type1,KFDA,0.5333333333333333,0.5833333333333334,0.050000000000000044
e3_all_extensions,poster_baseline,inter,irene,rest2_vs_type2,LDA,0.4833333333333333,0.5,0.01666666666666672
e3_all_extensions,poster_baseline,inter,irene,rest2_vs_type2,RBF-SVM,0.4666666666666667,0.5,0.033333333333333326
e3_all_extensions,poster_baseline,inter,irene,rest2_vs_type2,KFDA,0.4666666666666667,0.5,0.033333333333333326
e3_all_extensions,poster_baseline,inter,jh,rest2_vs_type2,LDA,0.5,0.5166666666666667,0.01666666666666672
e3_all_extensions,poster_baseline,inter,jh,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.5,-0.01666666666666672
e3_all_extensions,poster_baseline,inter,jh,rest2_vs_type2,KFDA,0.5,0.48333333333333334,-0.016666666666666663
e3_all_extensions,poster_baseline,inter,lin,rest2_vs_type2,LDA,0.5,0.5,0.0
e3_all_extensions,poster_baseline,inter,lin,rest2_vs_type2,RBF-SVM,0.5,0.48333333333333334,-0.016666666666666663
e3_all_extensions,poster_baseline,inter,lin,rest2_vs_type2,KFDA,0.3666666666666666,0.4,0.03333333333333344
e3_all_extensions,poster_baseline,inter,pftest,rest2_vs_type2,LDA,0.6166666666666667,0.6,-0.01666666666666672
e3_all_extensions,poster_baseline,inter,pftest,rest2_vs_type2,RBF-SVM,0.5666666666666667,0.55,-0.016666666666666607
e3_all_extensions,poster_baseline,inter,pftest,rest2_vs_type2,KFDA,0.6,0.55,-0.04999999999999993
e3_all_extensions,poster_baseline,inter,yen,rest2_vs_type2,LDA,0.5333333333333333,0.5333333333333333,0.0
e3_all_extensions,poster_baseline,inter,yen,rest2_vs_type2,RBF-SVM,0.5333333333333333,0.5333333333333333,0.0
e3_all_extensions,poster_baseline,inter,yen,rest2_vs_type2,KFDA,0.5166666666666667,0.5166666666666667,0.0
e2d_asym_plv,poster_baseline,intra,irene,rest1_vs_type1,KFDA,0.7166666666666667,0.8333333333333334,0.1166666666666667
e2d_asym_plv,poster_baseline,intra,irene,rest1_vs_type1,LDA,0.7333333333333333,0.85,0.1166666666666667
e2d_asym_plv,poster_baseline,intra,irene,rest1_vs_type1,RBF-SVM,0.7666666666666667,0.8666666666666666,0.09999999999999987
e2d_asym_plv,poster_baseline,intra,irene,rest2_vs_type2,KFDA,0.7666666666666667,0.7166666666666667,-0.050000000000000044
e2d_asym_plv,poster_baseline,intra,irene,rest2_vs_type2,LDA,0.7,0.7333333333333333,0.033333333333333326
e2d_asym_plv,poster_baseline,intra,irene,rest2_vs_type2,RBF-SVM,0.75,0.7166666666666667,-0.033333333333333326
e2d_asym_plv,poster_baseline,intra,jh,rest1_vs_type1,KFDA,0.7166666666666667,0.8333333333333334,0.1166666666666667
e2d_asym_plv,poster_baseline,intra,jh,rest1_vs_type1,LDA,0.6666666666666666,0.8166666666666667,0.15000000000000002
e2d_asym_plv,poster_baseline,intra,jh,rest1_vs_type1,RBF-SVM,0.6166666666666666,0.8166666666666667,0.20000000000000007
e2d_asym_plv,poster_baseline,intra,jh,rest2_vs_type2,KFDA,0.6166666666666666,0.4833333333333334,-0.1333333333333332
e2d_asym_plv,poster_baseline,intra,jh,rest2_vs_type2,LDA,0.6166666666666666,0.5833333333333333,-0.033333333333333326
e2d_asym_plv,poster_baseline,intra,jh,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.5,-0.13333333333333341
e2d_asym_plv,poster_baseline,intra,lin,rest1_vs_type1,KFDA,0.9333333333333333,0.8666666666666666,-0.06666666666666676
e2d_asym_plv,poster_baseline,intra,lin,rest1_vs_type1,LDA,0.9166666666666666,0.9166666666666666,0.0
e2d_asym_plv,poster_baseline,intra,lin,rest1_vs_type1,RBF-SVM,0.9333333333333333,0.85,-0.08333333333333337
e2d_asym_plv,poster_baseline,intra,lin,rest2_vs_type2,KFDA,0.8333333333333333,0.9333333333333332,0.09999999999999998
e2d_asym_plv,poster_baseline,intra,lin,rest2_vs_type2,LDA,0.8333333333333334,0.9333333333333332,0.09999999999999987
e2d_asym_plv,poster_baseline,intra,lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.9333333333333332,0.09999999999999987
e2d_asym_plv,poster_baseline,intra,pftest,rest1_vs_type1,KFDA,0.95,0.95,0.0
e2d_asym_plv,poster_baseline,intra,pftest,rest1_vs_type1,LDA,0.95,0.95,0.0
e2d_asym_plv,poster_baseline,intra,pftest,rest1_vs_type1,RBF-SVM,0.95,0.95,0.0
e2d_asym_plv,poster_baseline,intra,pftest,rest2_vs_type2,KFDA,0.8333333333333334,0.7666666666666666,-0.06666666666666676
e2d_asym_plv,poster_baseline,intra,pftest,rest2_vs_type2,LDA,0.8333333333333334,0.7666666666666666,-0.06666666666666676
e2d_asym_plv,poster_baseline,intra,pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.7833333333333333,-0.050000000000000044
e2d_asym_plv,poster_baseline,intra,yen,rest1_vs_type1,KFDA,0.8,0.75,-0.050000000000000044
e2d_asym_plv,poster_baseline,intra,yen,rest1_vs_type1,LDA,0.75,0.7166666666666667,-0.033333333333333326
e2d_asym_plv,poster_baseline,intra,yen,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.7,-0.1166666666666667
e2d_asym_plv,poster_baseline,intra,yen,rest2_vs_type2,KFDA,0.5333333333333334,0.6833333333333333,0.1499999999999999
e2d_asym_plv,poster_baseline,intra,yen,rest2_vs_type2,LDA,0.5666666666666667,0.6333333333333333,0.06666666666666665
e2d_asym_plv,poster_baseline,intra,yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.6666666666666667,0.15000000000000002
e2d_asym_plv,poster_baseline,inter,irene,rest1_vs_type1,LDA,0.4833333333333333,0.75,0.2666666666666667
e2d_asym_plv,poster_baseline,inter,irene,rest1_vs_type1,RBF-SVM,0.5,0.7666666666666667,0.2666666666666667
e2d_asym_plv,poster_baseline,inter,irene,rest1_vs_type1,KFDA,0.5,0.75,0.25
e2d_asym_plv,poster_baseline,inter,jh,rest1_vs_type1,LDA,0.6166666666666667,0.6666666666666666,0.04999999999999993
e2d_asym_plv,poster_baseline,inter,jh,rest1_vs_type1,RBF-SVM,0.6333333333333333,0.65,0.01666666666666672
e2d_asym_plv,poster_baseline,inter,jh,rest1_vs_type1,KFDA,0.6166666666666667,0.6166666666666667,0.0
e2d_asym_plv,poster_baseline,inter,lin,rest1_vs_type1,LDA,0.4833333333333333,0.6,0.1166666666666667
e2d_asym_plv,poster_baseline,inter,lin,rest1_vs_type1,RBF-SVM,0.5,0.5,0.0
e2d_asym_plv,poster_baseline,inter,lin,rest1_vs_type1,KFDA,0.5166666666666667,0.55,0.033333333333333326
e2d_asym_plv,poster_baseline,inter,pftest,rest1_vs_type1,LDA,0.5,0.7833333333333333,0.2833333333333333
e2d_asym_plv,poster_baseline,inter,pftest,rest1_vs_type1,RBF-SVM,0.5,0.75,0.25
e2d_asym_plv,poster_baseline,inter,pftest,rest1_vs_type1,KFDA,0.5,0.7166666666666667,0.21666666666666667
e2d_asym_plv,poster_baseline,inter,yen,rest1_vs_type1,LDA,0.5333333333333333,0.7166666666666667,0.18333333333333335
e2d_asym_plv,poster_baseline,inter,yen,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.7333333333333333,0.19999999999999996
e2d_asym_plv,poster_baseline,inter,yen,rest1_vs_type1,KFDA,0.5333333333333333,0.7333333333333333,0.19999999999999996
e2d_asym_plv,poster_baseline,inter,irene,rest2_vs_type2,LDA,0.4833333333333333,0.4166666666666667,-0.0666666666666666
e2d_asym_plv,poster_baseline,inter,irene,rest2_vs_type2,RBF-SVM,0.4666666666666667,0.45,-0.016666666666666663
e2d_asym_plv,poster_baseline,inter,irene,rest2_vs_type2,KFDA,0.4666666666666667,0.4166666666666667,-0.04999999999999999
e2d_asym_plv,poster_baseline,inter,jh,rest2_vs_type2,LDA,0.5,0.5666666666666667,0.06666666666666665
e2d_asym_plv,poster_baseline,inter,jh,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.5333333333333333,0.016666666666666607
e2d_asym_plv,poster_baseline,inter,jh,rest2_vs_type2,KFDA,0.5,0.5666666666666667,0.06666666666666665
e2d_asym_plv,poster_baseline,inter,lin,rest2_vs_type2,LDA,0.5,0.75,0.25
e2d_asym_plv,poster_baseline,inter,lin,rest2_vs_type2,RBF-SVM,0.5,0.6333333333333333,0.1333333333333333
e2d_asym_plv,poster_baseline,inter,lin,rest2_vs_type2,KFDA,0.3666666666666666,0.55,0.18333333333333346
e2d_asym_plv,poster_baseline,inter,pftest,rest2_vs_type2,LDA,0.6166666666666667,0.5333333333333333,-0.08333333333333337
e2d_asym_plv,poster_baseline,inter,pftest,rest2_vs_type2,RBF-SVM,0.5666666666666667,0.6,0.033333333333333326
e2d_asym_plv,poster_baseline,inter,pftest,rest2_vs_type2,KFDA,0.6,0.55,-0.04999999999999993
e2d_asym_plv,poster_baseline,inter,yen,rest2_vs_type2,LDA,0.5333333333333333,0.5166666666666667,-0.016666666666666607
e2d_asym_plv,poster_baseline,inter,yen,rest2_vs_type2,RBF-SVM,0.5333333333333333,0.48333333333333334,-0.04999999999999999
e2d_asym_plv,poster_baseline,inter,yen,rest2_vs_type2,KFDA,0.5166666666666667,0.5,-0.01666666666666672
