subject_id,comparison,feature,selection_count
jh,rest2_vs_type2,PLV__FP2__Fz__beta_high,1
lin,rest1_vs_type1,PLV__FP2__Fz__gamma,5
lin,rest1_vs_type1,PLV__FP1__F8__beta_low,4
lin,rest1_vs_type1,PLV__FP2__Fz__alpha,3
lin,rest1_vs_type1,PLV__FP1__F7__delta,2
lin,rest1_vs_type1,PLV__F3__F4__alpha,1
lin,rest1_vs_type1,PLV__F4__F8__alpha,1
lin,rest1_vs_type1,PLV__F7__F3__gamma,1
lin,rest1_vs_type1,PLV__F7__Fz__theta,1
lin,rest1_vs_type1,PLV__FP1__F4__delta,1
lin,rest1_vs_type1,PLV__FP1__F7__beta_high,1
lin,rest1_vs_type1,PLV__FP1__Fz__alpha,1
lin,rest1_vs_type1,PLV__FP2__F7__delta,1
lin,rest1_vs_type1,PLV__Fz__F4__delta,1
lin,rest2_vs_type2,PLV__F3__F4__beta_high,5
lin,rest2_vs_type2,PLV__F3__F8__gamma,3
lin,rest2_vs_type2,PLV__FP1__F7__alpha,2
lin,rest2_vs_type2,PLV__FP2__F7__gamma,1
lin,rest2_vs_type2,PLV__FP2__Fz__gamma,1
pftest,rest1_vs_type1,PLV__F3__F4__gamma,3
pftest,rest1_vs_type1,PLV__F3__Fz__beta_high,1
pftest,rest1_vs_type1,PLV__FP1__F3__gamma,1
pftest,rest2_vs_type2,PLV__FP1__FP2__gamma,3
pftest,rest2_vs_type2,PLV__FP2__F4__gamma,2
pftest,rest2_vs_type2,PLV__FP2__F8__theta,2
pftest,rest2_vs_type2,PLV__Fz__F8__alpha,2
pftest,rest2_vs_type2,PLV__F3__F8__alpha,1
pftest,rest2_vs_type2,PLV__F7__F3__gamma,1
pftest,rest2_vs_type2,PLV__F7__F8__delta,1
pftest,rest2_vs_type2,PLV__F7__Fz__delta,1
pftest,rest2_vs_type2,PLV__FP1__F3__beta_low,1
pftest,rest2_vs_type2,PLV__FP1__F7__beta_low,1
pftest,rest2_vs_type2,PLV__FP1__F8__alpha,1
pftest,rest2_vs_type2,PLV__FP1__F8__delta,1
pftest,rest2_vs_type2,PLV__FP1__FP2__beta_high,1
pftest,rest2_vs_type2,PLV__FP2__F4__alpha,1
pftest,rest2_vs_type2,PLV__FP2__F7__gamma,1
yen,rest1_vs_type1,PLV__FP1__FP2__beta_high,4
yen,rest1_vs_type1,PLV__F3__F8__alpha,2
yen,rest1_vs_type1,PLV__F7__F3__delta,2
yen,rest1_vs_type1,PLV__FP1__FP2__beta_low,2
yen,rest1_vs_type1,PLV__F3__Fz__alpha,1
yen,rest1_vs_type1,PLV__F7__F3__alpha,1
yen,rest1_vs_type1,PLV__F7__F8__theta,1
yen,rest1_vs_type1,PLV__FP1__F3__theta,1
yen,rest1_vs_type1,PLV__FP1__F7__beta_low,1
yen,rest1_vs_type1,PLV__FP1__Fz__alpha,1
yen,rest1_vs_type1,PLV__FP1__Fz__beta_low,1
yen,rest1_vs_type1,PLV__FP2__Fz__beta_low,1
yen,rest1_vs_type1,PLV__Fz__F8__alpha,1
yen,rest2_vs_type2,PLV__F7__F3__beta_high,4
yen,rest2_vs_type2,PLV__FP2__Fz__beta_high,2
yen,rest2_vs_type2,PLV__F3__Fz__theta,1
yen,rest2_vs_type2,PLV__F4__F8__gamma,1
yen,rest2_vs_type2,PLV__FP1__F7__beta_high,1
yen,rest2_vs_type2,PLV__FP1__FP2__beta_low,1
yen,rest2_vs_type2,PLV__FP1__FP2__delta,1
yen,rest2_vs_type2,PLV__FP2__F3__alpha,1
yen,rest2_vs_type2,PLV__FP2__F4__beta_low,1
yen,rest2_vs_type2,PLV__FP2__F8__beta_high,1
yen,rest2_vs_type2,PLV__Fz__F4__alpha,1
yen,rest2_vs_type2,PLV__Fz__F4__theta,1
